Stage Type,Supplier and PN,Speed (mm/s),Acceleration (m/s^2)
Linear,Zaber LDA150A-AE53T10A,800,24.5
Linear,Zaber X-ADR130B100B,750,24.5
Linear,Xeryon XWS-50,250,24.5
Linear,Dover Motion MMX-100,2000,100
Linear,Dover Motion SmartstageXY,1000,50
Linear,Griffin Motion CXY-C-100-BS-A-M-P,150,50
Linear,Griffin Motion NPS-110-LM-G-HH…,300,50
Linear,Novanta nPL70L-4M,2500,50
Linear,Standa 8MTL120,1000,50
Stepper,Zaber LSM100B-T4A,104,1000
Stepper,Standa 8MTF,10,1000
Stepper,SIGMA KOKI OSMS26-100(XY),40,1000
Stepper,Sigma Koki VAAB292,20,1000
